,Country Code,Country Name,Financial Literacy in Adults (%),Happiness Score (0-10),Gender Equility (0-100),GDP per capita,Womens in Parliament (%),Religious Index (0-100)
0,AUT,Austria,53,7.2677998542785645,39.344262295082,"48,634",39.344262295082,55
1,BEL,Belgium,55,6.834000110626221,40.6666666666667,"43,814",40.6666666666667,33
2,BGR,Bulgaria,35,5.265500068664551,26.6666666666667,"9,826",26.6666666666667,34
3,CYP,Cyprus,35,6.223499774932861,31.1258278145695,"26,240",19.6428571428571,75
4,CZE,Czechia,58,6.964700222015381,53.2231404958678,"25,039",22.5,21
5,DEU,Germany,66,7.1545000076293945,19.6428571428571,"45,466",31.1706629055007,40
6,DNK,Denmark,71,7.619500160217285,39.6648044692737,"58,439",39.6648044692737,19
7,ESP,Spain,49,6.490699768066406,28.7128712871287,"26,832",44.0,49
8,EST,Estonia,54,6.188799858093262,46.0,"22,986",28.7128712871287,16
9,FIN,Finland,63,7.842100143432617,39.5147313691508,"48,461",46.0,28
10,FRA,France,52,6.689899921417236,31.1706629055007,"39,257",39.5147313691508,30
11,GRC,Greece,45,5.722599983215332,21.6666666666667,"18,168",21.6666666666667,71
12,HRV,Croatia,44,5.881700038909912,12.0603015075377,"14,033",31.1258278145695,70
13,HUN,Hungary,54,5.991600036621094,22.5,"15,373",12.0603015075377,39
14,IRL,Ireland,55,7.085299968719482,35.7142857142857,"79,669",22.5,54
15,ITA,Italy,37,6.483099937438965,30.0,"30,657",35.7142857142857,72
16,LTU,Lithuania,39,6.25540018081665,24.113475177305,"19,883",24.113475177305,42
17,LUX,Luxembourg,53,7.324399948120117,30.0,"109,602",30.0,39
18,LVA,Latvia,48,6.0320000648498535,13.4328358208955,"17,230",30.0,39
19,MLT,Malta,44,6.6020002365112305,33.3333333333333,"28,469",13.4328358208955,86
20,NLD,Netherlands,66,7.464000225067139,28.695652173913,"51,290",33.3333333333333,33
21,POL,Poland,42,6.166100025177002,38.9,"15,304",28.695652173913,75
22,PRT,Portugal,26,5.928999900817871,21.8844984802432,"21,608",38.695652,72
23,ROU,Romania,22,6.139999866485596,27.7777777777778,"12,813",21.8844984802432,84
24,SVK,Slovakia,48,6.330900192260742,18.92147587511826,"18,669",22.6666666666667,47
25,SVN,Slovenia,44,6.460700035095215,44.0,"22,627",27.7777777777778,47
26,SWE,Sweden,71,7.36269998550415,46.9914040114613,"50,339",46.9914040114613,17
