Country,Men,Women
Algeria,75.5,77.9
Andorra,?,?
Antigua and Barbuda,75.7,78.0
Argentina,73.1,79.9
Armenia,71.2,78.4
Australia,81.3,85.3
Austria,79.0,83.8
Bahamas,71.5,75.9
Bahrain,76.3,78.3
Barbados,77.7,80.4
Belarus,69.4,79.4
Belgium,79.1,83.8
Belize,71.6,77.7
Bosnia and Herzegovina,74.8,79.7
Brazil,72.0,79.4
Brunei,74.6,77.0
Bulgaria,71.4,78.5
Canada,80.3,84.3
Chile,77.6,82.4
Colombia,74.3,79.9
Costa Rica,77.5,82.7
Croatia,75.1,81.5
Cuba,76.7,80.6
Cyprus,78.7,82.9
Czech Republic,76.6,81.8
Denmark,77.8,82.8
Dominican Republic,70.8,77.2
Ecuador,74.1,79.6
Finland,78.9,84.6
France,79.6,85.4
Georgia,69.2,78.0
Germany,78.8,83.6
Greece,79.6,84.5
Guatemala,71.1,76.9
Honduras,72.8,77.4
Hong Kong,81.8,87.6
Hungary,73.1,80.1
Iceland,81.3,84.4
Iran,75.4,77.7
Ireland,80.4,83.7
Israel,81.1,84.4
Italy,81.1,85.4
Jamaica,72.8,76.0
Japan,81.3,87.5
Jordan,72.7,76.2
Kuwait,74.7,76.5
Latvia,70.1,79.9
Lebanon,77.1,80.8
Liechtenstein,?,?
Lithuania,70.1,81.2
Luxembourg,80.0,84.2
Malaysia,74.1,78.2
Malta,80.5,84.1
Marshall Islands,?,?
Mauritius,71.5,78.4
Mexico,72.1,77.8
Montenegro,74.3,79.2
Morocco,75.2,77.7
Netherlands,80.4,83.8
New Zealand,80.4,83.9
Nicaragua,70.7,77.8
North Macedonia,73.7,77.7
Norway,80.3,84.3
Oman,75.9,80.1
Palau,?,?
Palestine,72.3,75.6
Panama,75.2,81.6
Paraguay,72.2,76.3
People's Republic of China,74.5,79.1
Peru,73.8,79.3
Poland,74.6,82.4
Portugal,78.8,84.7
Romania,72.5,79.4
Saint Kitts and Nevis,?,?
Saint Lucia,74.7,77.4
Saudi Arabia,73.8,76.6
Serbia,73.3,78.5
Singapore,81.4,85.7
Slovakia,73.8,80.8
Slovenia,78.4,83.9
South Korea,79.7,85.8
Spain,80.7,86.1
Sri Lanka,73.4,80.1
Sweden,80.9,84.4
Switzerland,81.7,85.5
Thailand,73.2,80.7
Tunisia,74.5,78.5
Turkey,74.4,80.3
United Arab Emirates,77.1,79.2
United Kingdom,79.5,83.0
United States,76.3,81.4
Uruguay,74.0,81.4
Vietnam,71.2,79.4
