,Country Name,Score
0,Singapore,89.7
1,New Zealand,83.9
2,Australia,82.4
3,Switzerland,81.9
4,Ireland,81.4
5,Taiwan,78.6
6,United Kingdom,78.4
7,Estonia,78.2
8,Canada,77.9
9,Denmark,77.8
10,Iceland,77.4
11,Georgia,77.2
12,Mauritius,77.0
13,United Arab Emirates,76.9
14,Lithuania,76.9
15,Netherlands,76.8
16,Finland,76.1
17,Luxembourg,76.0
18,Chile,75.2
19,United States,74.8
20,Sweden,74.7
21,Malaysia,74.4
22,Japan,74.1
23,South Korea,74.0
24,Austria,73.9
25,Israel,73.8
26,Czech Republic,73.8
27,Norway,73.4
28,Germany,72.5
29,Latvia,72.3
30,Qatar,72.0
31,Armenia,71.9
32,Cyprus,71.4
33,Kazakhstan,71.1
34,Bulgaria,70.4
35,Malta,70.2
36,Belgium,70.1
37,Azerbaijan,70.1
38,Spain,69.9
39,Bahrain,69.9
40,Poland,69.7
41,Thailand,69.7
42,Romania,69.5
43,Uruguay,69.3
44,Jamaica,69.0
45,North Macedonia,68.6
46,Rwanda,68.3
47,Slovenia,68.3
48,Colombia,68.1
49,Peru,67.7
50,Botswana,67.6
51,Portugal,67.5
52,Saint Lucia,67.5
53,Serbia,67.2
54,Hungary,67.2
55,Indonesia,66.9
56,Brunei Darussalam,66.6
57,Kosovo,66.5
58,Saint Vincent and the Grenadines,66.3
59,Seychelles,66.3
60,Slovakia,66.3
61,Panama,66.2
62,Saudi Arabia,66.0
63,France,65.7
64,Mexico,65.5
65,Albania,65.2
66,Barbados,65.0
67,Italy,64.9
68,Jordan,64.6
69,The Bahamas,64.4
70,Oman,64.6
71,Costa Rica,64.2
72,Philippines,64.1
73,Kuwait,64.1
74,Guatemala,64.0
75,Turkey,64.0
76,Cabo Verde,63.8
77,Kyrgyzstan,63.7
78,Croatia,63.6
79,Montenegro,63.4
80,Morocco,63.3
81,Bosnia and Herzegovina,62.9
82,Namibia,62.6
83,Paraguay,62.6
84,Moldova,62.5
85,Mongolia,62.4
86,Fiji,62.2
87,Dominican Republic,62.1
88,Samoa,61.9
89,Vietnam,61.7
90,Ivory Coast,61.7
91,Russia,61.5
92,Tanzania,61.3
93,El Salvador,61.0
94,Belarus,61.0
95,Greece,60.9
96,Vanuatu,60.5
97,Honduras,59.8
98,South Africa,59.7
99,Benin,59.6
100,Ghana,59.2
101,Trinidad and Tobago,59.0
102,Papua New Guinea,58.9
103,The Gambia,58.8
104,Nigeria,58.7
105,Uganda,58.6
106,China,58.4
107,Uzbekistan,58.3
108,Bhutan,58.3
109,Gabon,58.1
110,Senegal,58.0
111,Madagascar,57.7
112,Togo,57.5
113,Belize,57.5
114,Tonga,57.5
115,Guyana,57.4
116,Niger,57.3
117,Cambodia,57.3
118,Tunisia,56.6
119,Bangladesh,56.5
120,India,56.5
121,Solomon Islands,56.5
122,Guinea,56.5
123,Burkina Faso,56.5
124,Nicaragua,56.3
125,Djibouti,56.2
126,Ukraine,56.2
127,Mauritania,56.1
128,São Tomé and Príncipe,55.9
129,Egypt,55.7
130,Sri Lanka,55.7
131,Comoros,55.7
132,Mali,55.6
133,Tajikistan,55.2
134,Myanmar,55.2
135,Maldives,55.2
136,Eswatini,55.1
137,Kenya,54.9
138,Guinea-Bissau,54.9
139,Angola,54.2
140,Laos,53.9
141,Lesotho,53.5
142,Brazil,53.4
143,Cameroon,53.4
144,Malawi,53.0
145,Afghanistan,53.0
146,Dominica,53.0
147,Argentina,52.7
148,Ecuador,52.4
149,Sierra Leone,51.7
150,Ethiopia,51.7
151,Pakistan,51.7
152,Mozambique,51.6
153,Lebanon,51.4
154,Haiti,50.8
155,Republic of the Congo,50.7
156,Nepal,50.7
157,Chad,50.4
158,Zambia,50.4
159,Micronesia,50.4
160,Burundi,49.9
161,Algeria,49.7
162,Equatorial Guinea,49.2
163,Liberia,49.2
164,Congo-Kinshasa,49.0
165,Central African Republic,48.8
166,Turkmenistan,47.4
167,Iran,47.2
168,Suriname,46.4
169,Timor-Leste,44.7
170,Kiribati,44.4
171,Bolivia,42.7
172,Eritrea,42.3
173,Zimbabwe,39.5
174,Sudan,39.1
175,Cuba,28.1
176,Venezuela,24.7
177,North Korea,5.2
